nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,AFP,PD-L1,first_line,later_line,biomarker_selected
NCT04251117,"GNOS-PV02 Personalized Neoantigen Vaccine, INO-9012 and Pembrolizumab in Subjects With Advanced HCC",PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,Geneos Therapeutics,Geneos Therapeutics,1,1,0,single_arm,1,device: cellectra2000 ep device;gnos-pv02;ino-9012;pembrolizumab,device: cellectra2000 ep device;gnos-pv02;ino-9012;pembrolizumab,PD-1,mRNA,,0,1,0,0,1,1,0
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,PHASE1,Phase 1,RECRUITING,60,BioEclipse Therapeutics,BioEclipse Therapeutics,1,1,0,multi_experimental,2,crx100 suspension for infusion;cyclophosphamide;fludarabine,crx100 suspension for infusion;cyclophosphamide;fludarabine,PD-1,,ER;HER2;PR,0,1,0,0,0,1,0
NCT04344158,A Phase III Clinical Trial of AK105 Injection Combined With Anlotinib Hydrochloride Capsules Versus Sorafenib in Subjects With Advanced Hepatocellular Carcinoma (HCC),PHASE3,Phase 3,ACTIVE_NOT_RECRUITING,648,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical,213,1,0,active_comparator,2,sorafenib tosylate tablets,ak105 injection;anlotinib hydrochloride capsules,PD-1,Monoclonal Antibody,BRAF;KRAS;MSI-H;PD-L1,1,1,0,1,0,0,1
NCT04353375,HMPL-453 Tartrate in Advanced Intrahepatic Cholangiocarcinoma,PHASE2;PHASE3,Phase 3,RECRUITING,235,Hutchmed,HUTCHMED,35,1,0,single_arm,1,hmpl-453,hmpl-453,FGFR,Small Molecule,FGFR2,0,1,0,0,0,0,0
NCT04421820,BOLD-100 in Combination With FOLFOX for the Treatment of Advanced Solid Tumours,PHASE1;PHASE2,Phase 2,RECRUITING,220,"Bold Therapeutics, Inc.",Bold Therapeutics,1,1,0,active_comparator,9,bold-100 +/- folfox chemotherapy (arm vii),bold-100 in combination with folfox chemotherapy (arms i-vi),,Small Molecule,BRAF;ER;HER2;MSI;MSI-H,0,1,0,0,0,0,0
NCT04430452,Durvalumab With/Without Tremelimumab After Palliative Hypofractionated Radiotherapy for Hepatocellular Carcinoma,PHASE2,Phase 2,RECRUITING,21,"Mary Feng, MD","Mary Feng, MD",1,0,1,multi_experimental,3,,durvalumab;hypofractionated radiation therapy;tremelimumab,PD-L1,Monoclonal Antibody,EGFR;MET;PD-L1,1,1,0,1,0,0,1
NCT04430738,Tucatinib Plus Trastuzumab and Oxaliplatin-based Chemotherapy or Pembrolizumab-containing Combinations for HER2+ Gastrointestinal Cancers,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,40,"Seagen, a wholly owned subsidiary of Pfizer",Pfizer,687,1,1,multi_experimental,9,trastuzumab;tucatinib,capecitabine;fluorouracil;leucovorin;oxaliplatin;pembrolizumab;trastuzumab;tucatinib,HER2,Small Molecule,HER2;MET;PD-L1,0,1,0,1,0,0,1
NCT04472767,Cabozantinib Combined With Ipilimumab/Nivolumab and TACE in Patients With Hepatocellular Carcinoma,PHASE2,Phase 2,RECRUITING,35,"University of California, Irvine","University of California, Irvine",22,0,0,single_arm,1,cabozantinib;ipilimumab;nivolumab;transarterial chemoembolization,cabozantinib;ipilimumab;nivolumab;transarterial chemoembolization,PD-1,Monoclonal Antibody,CD30,1,1,0,0,0,0,0
NCT04521686,Study of LY3410738 Administered to Patients With Advanced Solid Tumors With IDH1 or IDH2 Mutations,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,200,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,2,ly3410738,cisplatin;durvalumab;gemcitabine;ly3410738,IDH1/2,Small Molecule,IDH1;IDH2;MET,0,1,0,1,1,0,1
NCT04522544,Durvalumab and Tremelimumab in Combination With Y-90 SIRT for Intermediate Stage HCC,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,55,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,28,0,1,multi_experimental,2,durvalumab;tremelimumab,deb-tace;durvalumab;tremelimumab;y-90 sirt,CTLA-4,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT04524871,A Study Evaluating the Efficacy and Safety of Multiple Immunotherapy-Based Treatment Combinations in Patients With Advanced Liver Cancers (Morpheus-Liver),PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,518,Hoffmann-La Roche,Roche/Genentech,922,1,1,active_comparator,11,atezolizumab;bevacizumab,adg126;atezolizumab;bevacizumab;io-108;nkt2152;tiragolumab;tobemstomig;tocilizumab;tpst-1120,PD-L1,Monoclonal Antibody,CMMRD;MSI-H;PD-L1;TMB;biomarker,1,1,0,1,0,0,1
NCT04563338,An Exploratory Study of Atezolizumab and Bevacizumab in Hepatocellular Carcinoma and Non-Small Cell Lung Cancer With Liver Metastases (INTEGRATE),PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,36,"University Health Network, Toronto","University Health Network, Toronto",91,0,1,multi_experimental,3,atezolizumab,atezolizumab;bevacizumab,PD-L1,Monoclonal Antibody,ALK;CMMRD;MSI-H;PD-L1;TMB,1,1,0,1,1,1,1
