nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,PD-L1,sarcomatoid,first_line,later_line,biomarker_selected
NCT06307431,A Study of Adjuvant Intismeran Autogene (V940) and Pembrolizumab in Renal Cell Carcinoma (V940-004).,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,272,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,active_comparator,2,pembrolizumab,intismeran autogene;pembrolizumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT06321250,A Study of JMKX003948 Tablets in Patients With Renal Cell Carcinoma,PHASE1,Phase 1,RECRUITING,80,Jemincare,Jemincare,10,1,0,multi_experimental,2,jmkx003948,jmkx003948,HIF-2α,Cell Therapy,,1,1,0,0,0,0,0
NCT06332755,"Study to Evaluate LB-LR1109, Administered Alone for the Treatment of Solid Tumor and in Combination With Atezolizumab for the Treatment of NSCLC",PHASE1,Phase 1,RECRUITING,76,LG Chem,LG Chem,2,1,0,multi_experimental,2,,phase 1a: lb-lr1109;phase 1b: lb-lr1109 and atezolizumab,PD-L1,Monoclonal Antibody,genomic,1,1,0,0,0,0,0
NCT06362369,A Study of Oral 7HP349 (Alintegimod) in Combination With Ipilimumab Followed by Nivolumab Monotherapy,PHASE1;PHASE2,Phase 2,RECRUITING,126,"7 Hills Pharma, LLC",7 Hills Pharma,2,1,0,single_arm,1,alintegimod;ipilimumab;nivolumab,alintegimod;ipilimumab;nivolumab,CTLA-4,Monoclonal Antibody,ALK;MMR;MSI;MSI-H;PD-L1;genomic,1,1,1,0,0,1,1
NCT06364631,CARE1 Pragmatic Clinical Trial,PHASE3,Phase 3,RECRUITING,1250,"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",31,0,0,multi_experimental,2,nivolumab,,PD-1,Monoclonal Antibody,CD30;biomarker,1,0,0,0,0,0,0
NCT06380816,A Phase I/II Trial of UCB4594 in Participants With Advanced Cancer,PHASE1;PHASE2,Phase 2,RECRUITING,167,Cancer Research UK,Cancer Research UK,16,0,0,multi_experimental,2,ucb4594,ucb4594,,,,0,1,0,0,0,1,0
NCT06399419,CBM588 Capsules in Combination With Nivolumab and Ipilimumab for the Treatment of Advanced Stage Kidney Cancer,PHASE1,Phase 1,RECRUITING,28,"Osel, Inc.",Osel,1,1,0,single_arm,1,biospecimen collection;bone scan;cbm588 capsules;computed tomography;ipilimumab;magnetic resonance imaging;nivolumab,biospecimen collection;bone scan;cbm588 capsules;computed tomography;ipilimumab;magnetic resonance imaging;nivolumab,PD-1,Small Molecule,MET,0,1,0,1,0,0,1
NCT06413680,A First-In Human (FIH) Study to Find Out How Well REGN10597 Medicine Given Alone or in Combination With Cemiplimab Works in Adult Participants Who Have Cancer With Tumors That Have Spread in Their Body,PHASE1;PHASE2,Phase 2,RECRUITING,240,Regeneron Pharmaceuticals,Regeneron,95,1,1,multi_experimental,4,regn10597,cemiplimab;regn10597,PD-1,Bispecific Antibody,PD-L1,1,1,1,0,0,0,1
NCT06432036,"Yttrium-90 (Y90) Radioembolization for the Treatment of Early Stage Renal Cell Carcinoma, The RENEGADE Trial",PHASE1;PHASE2,Phase 2,RECRUITING,25,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,0,single_arm,1,angiogram;biospecimen collection;computed tomography;radioembolization;single photon emission computed tomography;survey administration;yttrium y 90 glass microspheres,angiogram;biospecimen collection;computed tomography;radioembolization;single photon emission computed tomography;survey administration;yttrium y 90 glass microspheres,,,,0,1,0,0,0,0,0
NCT06444815,A Study of VET3-TGI in Patients With Solid Tumors,PHASE1,Phase 1,RECRUITING,60,KaliVir Immunotherapeutics,KaliVir Immunotherapeutics,1,1,0,multi_experimental,4,vet3-tgi,atezolizumab;vet3-tgi,TGF-β,Oncolytic Virus,,1,1,1,0,0,0,1
NCT06444880,Phase II Trial of Ubamatamab Alone or in Combination With Cemiplimab in MUC16-Expressing SMARCB1-Deficient Malignancies,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,15,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,ubamatamab,cemiplimab;ubamatamab,MUC16,Bispecific Antibody,MUC16;PD-L1;biomarker,1,1,1,0,0,1,1
NCT06447103,An Investigational Scan (89Zr-DFO-GmAb PET/CT) Compared to Contrast-Enhanced CT for the Detection of Recurrent Clear Cell Renal Cell Cancer After Surgery Comparing Carbonic Anhydrase IX (CAIX) PET CT to Conventional PET CT for Post-Op Staging in Kidney Cancer,PHASE2,Phase 2,RECRUITING,91,Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,117,0,0,single_arm,1,biospecimen collection;bone scan;computed tomography;magnetic resonance imaging;positron emission tomography;questionnaire administration;zirconium zr 89 girentuximab,biospecimen collection;bone scan;computed tomography;magnetic resonance imaging;positron emission tomography;questionnaire administration;zirconium zr 89 girentuximab,,Monoclonal Antibody,PD-L1,1,1,1,1,0,0,1
NCT06451497,"This is a Phase 1 Trial of ZM008, an Anti-LLT1 Antibody, Used as Single Agent Followed by Combination Treatment With Toripalimab in Patients With Advanced Solid Tumors",PHASE1,Phase 1,RECRUITING,100,Zumutor Biologics Inc.,Zumutor Biologics,1,1,0,single_arm,1,zm008,zm008,LLT1,Monoclonal Antibody,,1,1,0,0,0,1,0
NCT06465069,A Study of LY4052031 in Participants With Advanced or Metastatic Urothelial Cancer or Other Solid Tumors,PHASE1,Phase 1,RECRUITING,420,Eli Lilly and Company,Eli Lilly,535,1,1,multi_experimental,3,ly4052031,ly4052031,NECTIN4,ADC,NECTIN-4,1,1,0,0,0,0,0
NCT06480565,A Phase 1/2 Trial of ADI-270 in ccRCC,PHASE1;PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,60,Adicet Therapeutics,Adicet Therapeutics,3,1,0,multi_experimental,2,adi-270;cyclophosphamide;fludarabine,adi-270;cyclophosphamide;fludarabine,CD70,CAR-T,CD70,1,1,0,0,0,0,0
NCT06553339,A Study of HS-10516 in Patients With VHL Syndrome Associated Tumors,PHASE1,Phase 1,RECRUITING,60,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Hansoh,82,1,0,multi_experimental,4,oral hs-10516,oral hs-10516,VHL,Small Molecule,VHL,0,1,0,0,0,0,0
NCT06582017,"Safety, PK and Efficacy of QXL138AM in Patients With Solid Tumors and Multiple Myeloma",PHASE1,Phase 1,RECRUITING,100,Nammi Therapeutics Inc,Nammi Therapeutics,1,1,0,multi_experimental,4,qxl138am injection every 2 weeks by iv infusion,qxl138am injection every 2 weeks by iv infusion,,Recombinant Protein,,0,1,0,0,0,0,0
NCT06642220,Ablative Radioembolization of Renal Cell Carcinoma Trial,PHASE2,Phase 2,RECRUITING,16,Derek W. Cool,Derek W. Cool,1,0,0,single_arm,1,device: y-90 selective internal radiation therapy (sirt),device: y-90 selective internal radiation therapy (sirt),,Radiopharmaceutical,,0,1,0,0,0,0,0
NCT06673329,Brodalumab in the Treatment of Immune-Related Adverse Events,PHASE1,Phase 1,RECRUITING,11,"Brian Henick, MD","Brian Henick, MD",1,0,0,single_arm,1,brodalumab;ct scan,brodalumab;ct scan,IL-17RA,Monoclonal Antibody,,1,1,0,0,0,0,0
NCT06682793,"A Study to Evaluate the Safety and Efficacy of A2B395, an Allogeneic Logic-gated CAR T, in Participants With Solid Tumors That Express EGFR and Have Lost HLA-A*02 Expression",PHASE1;PHASE2,Phase 2,RECRUITING,240,A2 Biotherapeutics Inc.,A2 Biotherapeutics,3,1,0,single_arm,1,a2b395;diagnostic test: xt cdx with hla-loh assay,a2b395;diagnostic test: xt cdx with hla-loh assay,EGFR,CAR-T,HLA-A*02,1,1,0,0,0,0,0
NCT06708949,"A Randomized Phase 2 Trial of Nivolumab, Relatlimab Plus Ipilimumab vs. Nivolumab Plus Ipilimumab in First-line Advanced Renal Cell Carcinoma (RCC)",PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,52,M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,697,0,1,multi_experimental,2,ipilimumab,bms-986213 (relatlimab-nivolumab fdc);drugs nivolumab;ipilimumab,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT06750419,89Zr-TLX250 for PET/CT Imaging of ccRCC - ZIRCON-CP Study,PHASE3,Phase 3,RECRUITING,82,Telix Pharmaceuticals (Innovations) Pty Limited,Telix Pharmaceuticals (Innovations) Pty,19,1,0,single_arm,1,89zr-tlx250 pet/ct,89zr-tlx250 pet/ct,SLC43A2,Radiopharmaceutical,Clear Cell Renal Cell Carcinoma,0,1,0,0,0,0,0
NCT06783348,Radiopharmaceutical Treatment of Advanced Kidney Cancer,PHASE2,Phase 2,RECRUITING,48,European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer - EORTC,38,0,0,single_arm,1,177lu-psma-617,177lu-psma-617,PSMA,Radiopharmaceutical,PD-L1;PSMA,0,1,1,1,0,0,1
NCT06792552,A Phase I Study of SIM0505 in Participants With Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,738,"NextCure, Inc.",NextCure,8,1,0,multi_experimental,5,sim0505 for injection,sim0505 for injection,CDH6,ADC,PD-L1;PR;biomarker,1,1,1,0,1,1,1
NCT06794229,Neoadjuvant Zanzalintinib Plus Nivolumab in Patients With Locally Advanced and/or Inoperable Clear Cell Renal Cell Carcinoma With or Without Non-measurable Metastasis,PHASE2,Phase 2,RECRUITING,69,Qian Qin,Qian Qin,2,0,0,single_arm,1,nivolumab;zanzalintinib,nivolumab;zanzalintinib,EGFR,Small Molecule,MET;PD-L1,0,1,0,1,0,0,1
NCT06805825,A Study of the c-Kit Specific Antibody-Drug Conjugate NN3201 for Advanced and/or Metastatic Solid Tumors Known to Express c-Kit,PHASE1,Phase 1,RECRUITING,67,"Novelty Nobility, Inc.",Novelty Nobility,1,1,0,multi_experimental,4,nn3201,nn3201,KIT,ADC,C-KIT;MET,1,1,0,0,0,1,0
NCT06819293,IB-T101 Injection for Treatment of Patients With Advanced Clear Cell Renal Cell Carcinoma,PHASE1,Phase 1,RECRUITING,12,Grit Biotechnology,Grit Biotechnology,24,1,0,single_arm,1,ib-t101 injection,ib-t101 injection,,,,0,1,0,0,0,0,0
NCT06835972,A Study of Abemaciclib and Cabozantinib in People With Clear Cell Renal Cell Carcinoma (ccRCC),PHASE1;PHASE2,Phase 2,RECRUITING,43,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,abemaciclib;cabozantinib,abemaciclib;cabozantinib,ER,Small Molecule,ER;HER2;PD-L1,0,1,1,0,0,1,1
NCT06863311,Trial of Zanzalintinib (XL092) in Combination With Immunotherapy in Patients Who Progress on Adjuvant Therapy in Clear Cell RCC,PHASE2,Phase 2,RECRUITING,70,Karie Runcie,Karie Runcie,1,0,0,multi_experimental,2,xl092,nivolumab;xl092,PD-1,Small Molecule,PD-L1,0,1,1,0,0,0,1
NCT06883539,A Phase I Study of LXP1788 Injection with Advanced Solid Tumors.,PHASE1,Phase 1,RECRUITING,24,"LaunXP Biomedical Co., Ltd.",LaunXP Biomedical,1,1,0,single_arm,1,lxp1788 is administered intravenously via port-a,lxp1788 is administered intravenously via port-a,,,,0,1,0,0,0,1,0
NCT06910657,IDOV-Immune for Advanced Solid Tumors,PHASE1,Phase 1,RECRUITING,78,"ViroMissile, Inc.",ViroMissile,1,1,0,single_arm,1,idov-immune (oncolytic vaccinia virus),idov-immune (oncolytic vaccinia virus),,Oncolytic Virus,,1,1,0,0,0,0,0
NCT06962787,A Study of BL-B01D1+TKI±Pembrolizumab in Patients With Locally Advanced or Metastatic Renal Cancer,PHASE2,Phase 2,RECRUITING,260,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,axitinib;bl-b01d1;lenvatinib;pembrolizumab,axitinib;bl-b01d1;lenvatinib;pembrolizumab,PD-1,ADC,PD(L)-1,1,1,0,0,0,0,0
NCT06964958,177LuPSMA in Renal Cell Carcinoma,PHASE2,Phase 2,ACTIVE_NOT_RECRUITING,24,Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,326,0,1,single_arm,1,177lu-psma-617,177lu-psma-617,PSMA,Radiopharmaceutical,PSMA,0,1,0,1,0,0,1
NCT06966024,Study of DCC-2812 in Participants With Advanced Genitourinary Cancers,PHASE1,Phase 1,RECRUITING,60,"Deciphera Pharmaceuticals, LLC",Deciphera,17,1,0,single_arm,1,dcc-2812,dcc-2812,GCN2,Small Molecule,,0,1,0,0,0,0,0
NCT07000149,A Study to Investigate the Efficacy and Safety of Volrustomig ± Casdatifan vs Nivolumab + Ipilimumab as 1L Treatment for Advanced ccRCC,PHASE1,Phase 1,ACTIVE_NOT_RECRUITING,9,AstraZeneca,AstraZeneca,780,1,1,multi_experimental,2,casdatifan;volrustomig,casdatifan;volrustomig,PD-1,Monoclonal Antibody,PD-L1,1,1,0,0,0,0,0
NCT07011719,Study of Casdatifan and Cabozantinib Versus Placebo and Cabozantinib in Patients With Advanced Clear Cell Renal Cell Carcinoma,PHASE3,Phase 3,RECRUITING,720,"Arcus Biosciences, Inc.",Arcus Biosciences,21,1,0,placebo_comparator,2,cabozantinib,cabozantinib;casdatifan,MET,Small Molecule,PD-L1,0,1,0,0,0,0,0
NCT07043608,Zanzalintinib for Metastatic Clear Cell Renal Cell Carcinoma With Bone Metastases,PHASE2,Phase 2,RECRUITING,20,"Kelly Fitzgerald, MD","Kelly Fitzgerald, MD",1,0,0,single_arm,1,bone scan;computerized tomography (ct) scan;investigator choice of bone strengthening agents (bsa);non-investigational radiation therapy (rt);zanzalintinib,bone scan;computerized tomography (ct) scan;investigator choice of bone strengthening agents (bsa);non-investigational radiation therapy (rt);zanzalintinib,EGFR,Small Molecule,MET;PD-L1,0,1,0,0,0,1,0
NCT07049926,Substudy 03C: A Study of Combination Therapies in Participants With Renal Cell Carcinoma With Recurrent Disease During or After Anti-PD-(L)1 Therapy (MK-3475-03C/KEYMAKER-U03),PHASE1;PHASE2,Phase 2,RECRUITING,140,Merck Sharp & Dohme LLC,Merck (MSD),649,1,1,multi_experimental,2,belzutifan,belzutifan;zanzalintinib,EGFR,Small Molecule,PD-L1,0,1,0,0,0,0,0
