nct_id,brief_title,phase,phase_simple,overall_status,enrollment,lead_sponsor,company,sponsor_scale,is_industry,is_big_pharma,arm_structure,n_arms,comparator_B,experimental_A,targets,modalities,biomarkers_pipeline,tme_relevant,is_combination,HER2,PD-L1_CPS,CLDN18.2,MSI-H/dMMR,first_line,later_line,biomarker_selected,biomarker_detail,elig_summary
NCT06008054,"A Study of SI-B003, BL-B01D1+SI-B003 and BL-B01D1+PD-1 Monoclonal Antibody in Patients With Locally Advanced or Metastatic Esophageal Cancer, Gastric Cancer, Colorectal Cancer and Other Gastrointestinal Tumors",PHASE2,Phase 2,RECRUITING,376,"Sichuan Baili Pharmaceutical Co., Ltd.",Sichuan Baili Pharmaceutical,127,1,0,single_arm,1,bl-b01d1;pd-1 monoclonal antibody;si-b003,bl-b01d1;pd-1 monoclonal antibody;si-b003,PD-1,Bispecific Antibody,,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT06010862,Clinical Study of CEA-targeted CAR-T Therapy for CEA-positive Advanced/Metastatic Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,36,"Chongqing Precision Biotech Co., Ltd",Chongqing Precision Biotech,41,1,0,multi_experimental,2,cea car-t cells,cea car-t cells,CEA,CAR-T,CEA,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT06022861,A Study to Compare the Efficacy and Safety of LY01015 and Opdivo® Combined Respectively With Chemotherapy in Advanced or Metastatic Esophageal Squamous Cell Carcinoma,PHASE3,Phase 3,RECRUITING,510,"Shandong Boan Biotechnology Co., Ltd",Shandong Boan Biotechnology,6,1,0,active_comparator,2,cisplatin;fluorouracil;nivolumab,cisplatin;fluorouracil;ly01015,PD-1,Monoclonal Antibody,PD-L1,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST)
NCT06043466,A Clinical Trial Targeting CEA Chimeric Antigen Receptor T (CAR-T) for CEA Positive Advanced Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,30,"Chongqing Precision Biotech Co., Ltd",Chongqing Precision Biotech,41,1,0,single_arm,1,cea-targeted car-t cells,cea-targeted car-t cells,CEA,CAR-T,ALK;BRAF;CEA;MET;NTRK;PD-L1;RET;ROS1,1,1,0,1,0,0,1,1,1,PD-L1+,metastatic · 1st-line · squamous · measurable (RECIST) · ECOG 0
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis",PHASE1;PHASE2,Phase 2,RECRUITING,134,"Neonc Technologies, Inc.",Neonc Technologies,4,1,0,multi_experimental,8,neo212 oral capsule,bevacizumab;carboplatin;folfiri protocol;ipilimumab;neo212 oral capsule;nivolumab;paclitaxel;pembrolizumab;regorafenib,,Small Molecule,,0,1,0,0,0,0,0,0,0,,metastatic · squamous · measurable (RECIST)
NCT06084481,Study to Assess Adverse Events and Change in Disease Activity in Adult Participants With Select Advanced Solid Tumor Indications Receiving Intravenous (IV) ABBV-400,PHASE1,Phase 1,RECRUITING,325,AbbVie,AbbVie,274,1,1,multi_experimental,10,abbv-400,abbv-400;bevacizumab;itraconazole (itz),HER2,,HER2,0,1,1,0,0,0,0,0,1,HER2+,metastatic · adenoca. · measurable (RECIST)
NCT06123338,A Study of Pembrolizumab With Trastuzumab and Chemotherapy in People With Esophagogastric Cancer,PHASE2,Phase 2,RECRUITING,49,Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,411,0,1,single_arm,1,capecitabine;docetaxel;fluorouracil;nutrition questionnaires (optional);oxaliplatin;pembrolizumab;stool and saliva samples (optional);trastuzumab,capecitabine;docetaxel;fluorouracil;nutrition questionnaires (optional);oxaliplatin;pembrolizumab;stool and saliva samples (optional);trastuzumab,PD-1,Monoclonal Antibody,HER2;PD-L1,1,1,1,1,0,0,0,0,1,"HER2+, PD-L1+",metastatic · adenoca.
NCT06126406,Clinical Study of CEA Targeting Chimeric Antigen Receptor T Lymphocytes（CAR-T） for CEA Positive Advanced Malignant Solid Tumors,PHASE1,Phase 1,RECRUITING,60,"Chongqing Precision Biotech Co., Ltd",Chongqing Precision Biotech,41,1,0,multi_experimental,2,cea-targeted car-t cells,cea-targeted car-t cells,CEA,CAR-T,CEA,1,1,0,0,0,0,0,1,0,,metastatic · 2nd-line+ · measurable (RECIST) · ECOG 0
NCT06136988,A Study of Docetaxel for Injection (Albumin-bound) and SG001 in Combination With Cisplatin and Simultaneous Radiotherapy for Locally Advanced Unresectable Esophageal Squamous Carcinoma.,PHASE1;PHASE2,Phase 2,NOT_YET_RECRUITING,129,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",CSPC ZhongQi Pharmaceutical Technology,92,1,0,active_comparator,2,cisplatin for injection;paclitaxel;simultaneous radiotherapy,cisplatin for injection;docetaxel for injection (albumin-bound);sg001;simultaneous radiotherapy,PD-1,Monoclonal Antibody,Epstein-Barr virus;MSI-H;PD-L1;dMMR,1,1,0,1,0,0,0,0,1,PD-L1+,metastatic · squamous · measurable (RECIST) · ECOG 0-1
NCT06152978,A Perioperative Sintilimab and Chemotherapy in Esophageal Squamous Cell Carcinoma,PHASE2,Phase 2,NOT_YET_RECRUITING,182,Fudan University,Fudan University,29,0,0,active_comparator,2,,sintilimab,PD-1,Monoclonal Antibody,PD-L1;biomarker,1,0,0,0,0,0,0,0,0,,metastatic · squamous
